text	label
a young korean war veteran returns home to find his parents have died and his wife has left him for another man . 	0
charlotte and teis , partners for some years , are going to climb a mountain , literally and metaphorically . 	0
"when an older woman , mutt , an eccentric hustler with a heart , and her dog fort pass by , janey "" s solitude is forever changed . "	0
this film was shot during two trips that majid majidi took in western afghanistan in 2001 and 2002 . 	0
seeing no help forthcoming from the sheriff , she turns to the only other person who can help her , jack barone , a grieving father whose daughter , lisa , was the victim of a similar slaying ten years prior . 	0
the land has been in the grip of a ravaging drought for 10 years . 	0
sam roberts thinks he has all the answers : the purpose of life , the meaning of love , the plan for a perfect future . 	0
no dogs is a cool metaphor with a twist . 	0
hope looms on the horizon though : he's closing in fast on his dream of opening a four-star restaurant in north conway . 	0
dr . siddharth sinha ( amitabh bachchan ) , a philanthropist and a dedicated surgeon who has devoted his life to build a state-of-the-art hospital to treat the underprivileged patients . 	0
mark spends his days at the paddy wagon , tending bar and hanging out with his childhood friend , otis . 	0
tells the important , but little-known story of dismantling segregation in the polite society that was bermuda in the 1950s . 	0
she spends the night with pqd , one of the musicians . 	0
as their adopted identity grows , the gang tumbles into a downward spiral of excitement , excess and fun . 	0
a love story played out against a backdrop of political and religious upheaval . 	0
the crew of the enterprise ( picard and company ) find themselves on planet romulus and eventually discover a threat to the earth . 	0
everything is set for the perfect weekend , until one of the guests stumbles across an old history of the house with the power to unleash the horrors of scotland's past . 	0
"siti accepts the challenge , as this will help the popularity and rating of her show "" cable news international "" to increase . "	0
the comet hale-bopp is shooting across the sky for the last time in 4000 years . 	0
one of patricia's early followers is francis hiller ( edward albert jr . ) , jack's son and katherine's stepbrother , a successful local businessman . 	0
peter must relive this brief moment at the party until he gets it right and wins jen's heart . 	0
based upon sherman alexie's book of poetry of the same name . 	0
the four girls are teased and discriminated against by their other colleagues and are finally fired by their beautiful , evil boss christine . 	0
brings back nick tellis , fired 18-months ago when a stray bullet hits a pregnant woman . 	0
charlie beck is a handsome british charmer , he arrives in a vintage sports car and woos sally until he sweeps her off her feet . 	0
a recess in a wall , as for holding a statue . 	0
thus when he surprisingly gets an email from american film producer alex brubeck who writes that he had liked the script and would like to meet him personally , tam&#225 ; s sees all his dreams come true . 	0
is this dead visitor all in keith's head or is she truly a mother ghost ? 	0
and suddenly , she spots her beloved , wandering over sand dunes and brings the exhausted patricia to his oasis called 'shangri-la' . . . 	0
when the general he's sent to kill delays his return to the country , john passes the time with manuela , a beautiful dancer who becomes his teacher and guide into argentina's sensual world of the tango . 	0
in their own words , and not a moment too soon - 'broadway' tells the stories of our theatrical legends , how they came to new york , and how they created this legendary century in american theatre . 	0
will david or matt learn the true meaning of love ? 	0
sam and the kids band together and manage to combat the armed thugs and foil lamb's perfectly planned crime . 	0
his songs are no longer seen as top grade . 	0
however , when one of the lads accidentally shags a punter ( steven berkoff ) to death , they are forced to look for 'work' elsewhere . 	0
an alcoholic ex-school teacher takes a job watching security cameras in the same house . 	0
the girls plan to take on the dons instead of buckling under their threats . 	0
many cannot hold a job , or choose not to . 	0
a girl at a southern baptist high school finds that her pregnancy makes her an outcast . 	0
although mother and son are initially at odds , their relationship begins to change when he discovers that his bride-to-be likes his mother's rock-n-roll lifestyle too . 	0
